USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0  10376   508 ?        Ss   Apr04   3:03 init [5]         
root         2  0.0  0.0      0     0 ?        S<   Apr04   0:00 [migration/0]
root         3  0.0  0.0      0     0 ?        SN   Apr04   0:00 [ksoftirqd/0]
root         4  0.0  0.0      0     0 ?        S<   Apr04   0:00 [watchdog/0]
root         5  0.0  0.0      0     0 ?        S<   Apr04   0:01 [migration/1]
root         6  0.0  0.0      0     0 ?        SN   Apr04   0:05 [ksoftirqd/1]
root         7  0.0  0.0      0     0 ?        S<   Apr04   0:00 [watchdog/1]
root         8  0.0  0.0      0     0 ?        S<   Apr04   0:02 [migration/2]
root         9  0.0  0.0      0     0 ?        SN   Apr04   0:07 [ksoftirqd/2]
root        10  0.0  0.0      0     0 ?        S<   Apr04   0:00 [watchdog/2]
root        11  0.0  0.0      0     0 ?        S<   Apr04   0:02 [migration/3]
root        12  0.0  0.0      0     0 ?        SN   Apr04   0:04 [ksoftirqd/3]
root        13  0.0  0.0      0     0 ?        S<   Apr04   0:00 [watchdog/3]
root        14  0.0  0.0      0     0 ?        S<   Apr04   0:02 [migration/4]
root        15  0.0  0.0      0     0 ?        SN   Apr04   0:07 [ksoftirqd/4]
root        16  0.0  0.0      0     0 ?        S<   Apr04   0:00 [watchdog/4]
root        17  0.0  0.0      0     0 ?        S<   Apr04   0:02 [migration/5]
root        18  0.0  0.0      0     0 ?        SN   Apr04   0:00 [ksoftirqd/5]
root        19  0.0  0.0      0     0 ?        S<   Apr04   0:00 [watchdog/5]
root        20  0.0  0.0      0     0 ?        S<   Apr04   0:00 [migration/6]
root        21  0.0  0.0      0     0 ?        SN   Apr04   0:09 [ksoftirqd/6]
root        22  0.0  0.0      0     0 ?        S<   Apr04   0:00 [watchdog/6]
root        23  0.0  0.0      0     0 ?        S<   Apr04   0:01 [migration/7]
root        24  0.0  0.0      0     0 ?        SN   Apr04   0:10 [ksoftirqd/7]
root        25  0.0  0.0      0     0 ?        S<   Apr04   0:00 [watchdog/7]
root        26  0.0  0.0      0     0 ?        S<   Apr04   0:01 [migration/8]
root        27  0.0  0.0      0     0 ?        SN   Apr04   0:11 [ksoftirqd/8]
root        28  0.0  0.0      0     0 ?        S<   Apr04   0:00 [watchdog/8]
root        29  0.0  0.0      0     0 ?        S<   Apr04   0:01 [migration/9]
root        30  0.0  0.0      0     0 ?        SN   Apr04   0:10 [ksoftirqd/9]
root        31  0.0  0.0      0     0 ?        S<   Apr04   0:00 [watchdog/9]
root        32  0.0  0.0      0     0 ?        S<   Apr04   0:01 [migration/10]
root        33  0.0  0.0      0     0 ?        SN   Apr04   0:11 [ksoftirqd/10]
root        34  0.0  0.0      0     0 ?        S<   Apr04   0:00 [watchdog/10]
root        35  0.0  0.0      0     0 ?        S<   Apr04   0:00 [migration/11]
root        36  0.0  0.0      0     0 ?        SN   Apr04   0:05 [ksoftirqd/11]
root        37  0.0  0.0      0     0 ?        S<   Apr04   0:00 [watchdog/11]
root        38  0.0  0.0      0     0 ?        S<   Apr04   0:00 [events/0]
root        39  0.0  0.0      0     0 ?        S<   Apr04   0:00 [events/1]
root        40  0.0  0.0      0     0 ?        S<   Apr04   0:00 [events/2]
root        41  0.0  0.0      0     0 ?        S<   Apr04   0:00 [events/3]
root        42  0.0  0.0      0     0 ?        S<   Apr04   0:00 [events/4]
root        43  0.0  0.0      0     0 ?        S<   Apr04   0:00 [events/5]
root        44  0.0  0.0      0     0 ?        S<   Apr04   0:00 [events/6]
root        45  0.0  0.0      0     0 ?        S<   Apr04   0:00 [events/7]
root        46  0.0  0.0      0     0 ?        S<   Apr04   0:00 [events/8]
root        47  0.0  0.0      0     0 ?        S<   Apr04   0:00 [events/9]
root        48  0.0  0.0      0     0 ?        S<   Apr04   0:00 [events/10]
root        49  0.0  0.0      0     0 ?        S<   Apr04   0:00 [events/11]
root        50  0.0  0.0      0     0 ?        S<   Apr04   0:00 [khelper]
root       443  0.0  0.0      0     0 ?        S<   Apr04   2:37 [kthread]
root       458  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kblockd/0]
root       459  0.0  0.0      0     0 ?        S<   Apr04   0:07 [kblockd/1]
root       460  0.0  0.0      0     0 ?        S<   Apr04   0:09 [kblockd/2]
root       461  0.0  0.0      0     0 ?        S<   Apr04   0:10 [kblockd/3]
root       462  0.0  0.0      0     0 ?        S<   Apr04   0:10 [kblockd/4]
root       463  0.0  0.0      0     0 ?        S<   Apr04   0:01 [kblockd/5]
root       464  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kblockd/6]
root       465  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kblockd/7]
root       466  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kblockd/8]
root       467  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kblockd/9]
root       468  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kblockd/10]
root       469  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kblockd/11]
root       470  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kacpid]
root       649  0.0  0.0      0     0 ?        S<   Apr04   0:00 [cqueue/0]
root       650  0.0  0.0      0     0 ?        S<   Apr04   0:00 [cqueue/1]
root       651  0.0  0.0      0     0 ?        S<   Apr04   0:00 [cqueue/2]
root       652  0.0  0.0      0     0 ?        S<   Apr04   0:00 [cqueue/3]
root       653  0.0  0.0      0     0 ?        S<   Apr04   0:00 [cqueue/4]
root       654  0.0  0.0      0     0 ?        S<   Apr04   0:00 [cqueue/5]
root       655  0.0  0.0      0     0 ?        S<   Apr04   0:00 [cqueue/6]
root       656  0.0  0.0      0     0 ?        S<   Apr04   0:00 [cqueue/7]
root       657  0.0  0.0      0     0 ?        S<   Apr04   0:00 [cqueue/8]
root       658  0.0  0.0      0     0 ?        S<   Apr04   0:00 [cqueue/9]
root       659  0.0  0.0      0     0 ?        S<   Apr04   0:00 [cqueue/10]
root       660  0.0  0.0      0     0 ?        S<   Apr04   0:00 [cqueue/11]
root       663  0.0  0.0      0     0 ?        S<   Apr04   0:00 [khubd]
root       665  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kseriod]
root       802  0.0  0.0 110548  1368 ?        Ss   Apr16   0:00 SCREEN
ssma       803  0.0  0.0  65524  1516 pts/37   Ss+  Apr16   0:00 /bin/bash
root       820  0.0  0.0      0     0 ?        S    Apr04   0:00 [khungtaskd]
root       821  0.1  0.0      0     0 ?        S    Apr04  31:09 [pdflush]
root       823  0.4  0.0      0     0 ?        S<   Apr04  90:26 [kswapd0]
root       824  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/0]
root       825  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/1]
root       826  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/2]
root       827  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/3]
root       828  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/4]
root       829  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/5]
root       830  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/6]
root       831  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/7]
root       832  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/8]
root       833  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/9]
root       834  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/10]
root       835  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/11]
root       997  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kpsmoused]
root      1081  0.0  0.0 124956  2012 ?        Ss   Apr10   0:00 sshd: jkrause [priv]
root      1109  0.0  0.0      0     0 ?        S<   Apr04   0:00 [scsi_eh_0]
